CFN Alias,Tag Policies Alias,Terraform Resource Type
AWS::AccessAnalyzer::Analyzer,access-analyzer:analyzer,aws_accessanalyzer_analyzer
AWS::CertificateManager::Certificate,acm:certificate,aws_acm_certificate
AWS::ACMPCA::CertificateAuthority,acm-pca:certificate-authority,aws_acmpca_certificate_authority
AWS::MWAA::Environment,airflow:environment,aws_mwaa_environment
AWS::Amplify::App,amplify:apps,aws_amplify_app
AWS::OpenSearchServerless::Collection,aoss:collection,aws_opensearchserverless_collection
AWS::AppIntegrations::DataIntegration,app-integrations:data-integration,aws_appintegrations_data_integration
AWS::AppIntegrations::EventIntegration,app-integrations:event-integration,aws_appintegrations_event_integration
AWS::AppIntegrations::Application,app-integrations:application,
AWS::AppConfig::DeploymentStrategy,appconfig:deploymentstrategy,aws_appconfig_deployment_strategy
AWS::AppConfig::ExtensionAssociation,appconfig:extensionassociation,aws_appconfig_extension_association
AWS::AppConfig::Application,appconfig:application,aws_appconfig_application
AWS::AppConfig::Extension,appconfig:extension,aws_appconfig_extension
AWS::AppConfig::Environment,appconfig:application/environment,aws_appconfig_environment
AWS::AppConfig::ConfigurationProfile,appconfig:application/configurationprofile,aws_appconfig_configuration_profile
AWS::AppFlow::Flow,appflow:flow,aws_appflow_flow
AWS::ApplicationSignals::ServiceLevelObjective,application-signals:slo,
AWS::ApplicationInsights::Application,applicationinsights:application,aws_applicationinsights_application
AWS::AppMesh::VirtualGateway,appmesh:mesh/virtualGateway,aws_appmesh_virtual_gateway
AWS::AppMesh::VirtualService,appmesh:mesh/virtualService,aws_appmesh_virtual_service
AWS::AppMesh::VirtualRouter,appmesh:mesh/virtualRouter,aws_appmesh_virtual_router
AWS::AppMesh::GatewayRoute,appmesh:mesh/virtualGateway/gatewayRoute,aws_appmesh_gateway_route
AWS::AppMesh::Route,appmesh:mesh/virtualRouter/route,aws_appmesh_route
AWS::AppMesh::Mesh,appmesh:mesh,aws_appmesh_mesh
AWS::AppMesh::VirtualNode,appmesh:mesh/virtualNode,aws_appmesh_virtual_node
AWS::AppRunner::VpcIngressConnection,apprunner:vpcingressconnection,aws_apprunner_vpc_ingress_connection
AWS::AppRunner::Service,apprunner:service,aws_apprunner_service
AWS::AppRunner::ObservabilityConfiguration,apprunner:observabilityconfiguration,aws_apprunner_observability_configuration
AWS::AppRunner::AutoScalingConfiguration,apprunner:autoscalingconfiguration,aws_apprunner_auto_scaling_configuration_version
AWS::AppRunner::VpcConnector,apprunner:vpcconnector,aws_apprunner_vpc_connector
AWS::AppStream::ImageBuilder,appstream:image-builder,aws_appstream_image_builder
AWS::AppStream::Fleet,appstream:fleet,aws_appstream_fleet
AWS::AppStream::AppBlock,appstream:app-block,
AWS::AppStream::Stack,appstream:stack,aws_appstream_stack
AWS::AppStream::Application,appstream:application,
AWS::AppTest::TestCase,apptest:testcase,
AWS::APS::Workspace,aps:workspace,
AWS::APS::RuleGroupsNamespace,aps:rulegroupsnamespace,
AWS::Athena::WorkGroup,athena:workgroup,aws_athena_workgroup
AWS::Athena::CapacityReservation,athena:capacity-reservation,aws_athena_capacity_reservation
AWS::Athena::DataCatalog,athena:datacatalog,aws_athena_data_catalog
AWS::AuditManager::Assessment,auditmanager:assessment,aws_auditmanager_assessment
AWS::B2BI::Capability,b2bi:capability,
AWS::B2BI::Profile,b2bi:profile,
AWS::B2BI::Partnership,b2bi:partnership,
AWS::B2BI::Transformer,b2bi:transformer,
AWS::Backup::RestoreTestingPlan,backup:restore-testing-plan,aws_backup_restore_testing_plan
AWS::Backup::Framework,backup:framework,aws_backup_framework
AWS::Backup::ReportPlan,backup:report-plan,aws_backup_report_plan
AWS::Backup::BackupPlan,backup:backup-plan,aws_backup_plan
AWS::BackupGateway::Hypervisor,backup-gateway:hypervisor,
AWS::Batch::JobDefinition,batch:job-definition,aws_batch_job_definition
AWS::Batch::SchedulingPolicy,batch:scheduling-policy,aws_batch_scheduling_policy
AWS::Batch::ConsumableResource,batch:consumable-resource,
AWS::Batch::ComputeEnvironment,batch:compute-environment,aws_batch_compute_environment
AWS::Batch::JobQueue,batch:job-queue,aws_batch_job_queue
AWS::BCMDataExports::Export,bcm-data-exports:export,aws_bcmdataexports_export
AWS::Bedrock::Flow,bedrock:flow,aws_bedrockagent_flow
AWS::Bedrock::KnowledgeBase,bedrock:knowledge-base,aws_bedrockagent_knowledge_base
AWS::Bedrock::AgentAlias,bedrock:agent-alias,aws_bedrockagent_agent_alias
AWS::Bedrock::ApplicationInferenceProfile,bedrock:application-inference-profile,
AWS::Bedrock::Guardrail,bedrock:guardrail,aws_bedrock_guardrail
AWS::Bedrock::Agent,bedrock:agent,aws_bedrockagent_agent
AWS::Bedrock::Prompt,bedrock:prompt,aws_bedrockagent_prompt
AWS::Bedrock::DataAutomationProject,bedrock:data-automation-project,
AWS::Bedrock::Blueprint,bedrock:blueprint,
AWS::Budgets::BudgetsAction,budgets:budget/action,aws_budgets_budget_action
AWS::Budgets::Budget,budgets:budget,aws_budgets_budget
AWS::Cassandra::Keyspace,cassandra:keyspace,aws_keyspaces_keyspace
AWS::ServiceCatalog::Portfolio,catalog:portfolio,aws_servicecatalog_portfolio
AWS::CE::AnomalyMonitor,ce:anomalymonitor,aws_ce_anomaly_monitor
AWS::CE::CostCategory,ce:costcategory,aws_ce_cost_category
AWS::CE::AnomalySubscription,ce:anomalysubscription,aws_ce_anomaly_subscription
AWS::CleanRooms::ConfiguredTable,cleanrooms:configuredtable,aws_cleanrooms_configured_table
AWS::CleanRoomsML::TrainingDataset,cleanrooms-ml:training-dataset,
AWS::CloudFormation::Stack,cloudformation:stack,aws_cloudformation_stack
AWS::CloudFormation::StackSet,cloudformation:stackset,aws_cloudformation_stack_set
AWS::CloudFront::ConnectionGroup,cloudfront:connection-group,
AWS::CloudFront::Distribution,cloudfront:distribution,aws_cloudfront_distribution
AWS::CloudTrail::Dashboard,cloudtrail:dashboard,
AWS::CloudTrail::EventDataStore,cloudtrail:eventdatastore,aws_cloudtrail_event_data_store
AWS::CloudTrail::Trail,cloudtrail:trail,aws_cloudtrail
AWS::CloudTrail::Channel,cloudtrail:channel,
AWS::CloudWatch::MetricStream,cloudwatch:metric-stream,aws_cloudwatch_metric_stream
AWS::CloudWatch::InsightRule,cloudwatch:insight-rule,
AWS::CloudWatch::Alarm,cloudwatch:alarm,aws_cloudwatch_metric_alarm
AWS::CodeArtifact::Repository,codeartifact:repository,aws_codeartifact_repository
AWS::CodeArtifact::Domain,codeartifact:domain,aws_codeartifact_domain
AWS::CodeBuild::Project,codebuild:project,aws_codebuild_project
AWS::CodeBuild::ReportGroup,codebuild:report-group,aws_codebuild_report_group
AWS::CodeCommit::Repository,codecommit:repository,aws_codecommit_repository
AWS::CodeConnections::Connection,codeconnections:connection,aws_codeconnections_connection
AWS::CodeDeploy::Application,codedeploy:application,aws_codedeploy_app
AWS::CodeDeploy::DeploymentConfig,codedeploy:deploymentconfig,aws_codedeploy_deployment_config
AWS::CodeGuruProfiler::ProfilingGroup,codeguru-profiler:profilingGroup,aws_codeguruprofiler_profiling_group
AWS::CodeGuruReviewer::RepositoryAssociation,codeguru-reviewer:association,aws_codegurureviewer_repository_association
AWS::CodePipeline::Webhook,codepipeline:webhook,aws_codepipeline_webhook
AWS::CodePipeline::Pipeline,codepipeline:pipeline,aws_codepipeline
AWS::CodePipeline::CustomActionType,codepipeline:actiontype,aws_codepipeline_custom_action_type
AWS::CodeStarConnections::RepositoryLink,codestar-connections:repository-link,
AWS::CodeStarConnections::Connection,codestar-connections:connection,aws_codestarconnections_connection
AWS::CodeStarNotifications::NotificationRule,codestar-notifications:notificationrule,aws_codestarnotifications_notification_rule
AWS::Cognito::IdentityPool,cognito-identity:identitypool,aws_cognito_identity_pool
AWS::Cognito::UserPool,cognito-idp:userpool,aws_cognito_user_pool
AWS::Comprehend::DocumentClassifier,comprehend:document-classifier,aws_comprehend_document_classifier
AWS::Comprehend::Flywheel,comprehend:flywheel,
AWS::Config::ConfigurationAggregator,config:config-aggregator,aws_config_configuration_aggregator
AWS::Config::ConfigRule,config:config-rule,aws_config_config_rule
AWS::Config::AggregationAuthorization,config:aggregation-authorization,aws_config_aggregate_authorization
AWS::Config::ConformancePack,config:conformance-pack,aws_config_conformance_pack
AWS::Config::StoredQuery,config:stored-query,
AWS::Connect::IntegrationAssociation,connect:instance/integration-association,
AWS::Connect::Instance,connect:instance,aws_connect_instance
AWS::Connect::TaskTemplate,connect:instance/task-template,
AWS::Connect::SecurityProfile,connect:instance/security-profile,aws_connect_security_profile
AWS::Connect::EvaluationForm,connect:instance/evaluation-form,
AWS::Connect::Rule,connect:instance/rule,
AWS::Connect::ContactFlow,connect:instance/contact-flow,aws_connect_contact_flow
AWS::Connect::RoutingProfile,connect:instance/routing-profile,aws_connect_routing_profile
AWS::Connect::User,connect:instance/agent,aws_connect_user
AWS::Connect::Prompt,connect:instance/prompt,
AWS::Connect::QuickConnect,connect:instance/transfer-destination,aws_connect_quick_connect
AWS::Connect::ContactFlowModule,connect:instance/flow-module,aws_connect_contact_flow_module
AWS::Connect::Queue,connect:instance/queue,aws_connect_queue
AWS::Connect::PhoneNumber,connect:phone-number,aws_connect_phone_number
AWS::Connect::HoursOfOperation,connect:instance/operating-hours,aws_connect_hours_of_operation
AWS::ConnectCampaigns::Campaign,connect-campaigns:campaign,
AWS::CUR::ReportDefinition,cur:definition,aws_cur_report_definition
AWS::DataBrew::Schedule,databrew:schedule,
AWS::DataBrew::Project,databrew:project,
AWS::DataBrew::Job,databrew:job,
AWS::DataBrew::Dataset,databrew:dataset,
AWS::DataBrew::Recipe,databrew:recipe,
AWS::DataBrew::Ruleset,databrew:ruleset,
AWS::DataSync::Task,datasync:task,aws_datasync_task
AWS::DataZone::Domain,datazone:domain,aws_datazone_domain
AWS::DAX::Cluster,dax:cache,aws_dax_cluster
AWS::Deadline::LicenseEndpoint,deadline:license-endpoint,
AWS::Deadline::Farm,deadline:farm,
AWS::Detective::Graph,detective:graph,aws_detective_graph
AWS::DeviceFarm::Project,devicefarm:project,aws_devicefarm_project
AWS::DeviceFarm::InstanceProfile,devicefarm:instanceprofile,aws_devicefarm_instance_profile
AWS::DeviceFarm::TestGridProject,devicefarm:testgrid-project,aws_devicefarm_test_grid_project
AWS::DLM::LifecyclePolicy,dlm:policy,aws_dlm_lifecycle_policy
AWS::DMS::Endpoint,dms:endpoint,aws_dms_endpoint
AWS::DMS::MigrationProject,dms:migration-project,
AWS::DMS::ReplicationSubnetGroup,dms:subgrp,aws_dms_replication_subnet_group
AWS::DMS::DataProvider,dms:data-provider,
AWS::DMS::ReplicationInstance,dms:rep,aws_dms_replication_instance
AWS::DMS::ReplicationTask,dms:task,aws_dms_replication_task
AWS::DMS::Certificate,dms:cert,aws_dms_certificate
AWS::DMS::ReplicationConfig,dms:replication-config,aws_dms_replication_config
AWS::DMS::InstanceProfile,dms:instance-profile,
AWS::DMS::EventSubscription,dms:es,aws_dms_event_subscription
AWS::DSQL::Cluster,dsql:cluster,aws_dsql_cluster
AWS::DynamoDB::Table,dynamodb:table,aws_dynamodb_table
AWS::EC2::IPAMResourceDiscovery,ec2:ipam-resource-discovery,aws_vpc_ipam_resource_discovery
AWS::EC2::VPCEndpointServicePermissions,ec2:vpc-endpoint-service-permission,
AWS::EC2::TransitGatewayConnectPeer,ec2:transit-gateway-connect-peer,aws_ec2_transit_gateway_connect_peer
AWS::EC2::IPAMPool,ec2:ipam-pool,aws_vpc_ipam_pool
AWS::EC2::NetworkAcl,ec2:network-acl,aws_network_acl
AWS::EC2::RouteTable,ec2:route-table,aws_route_table
AWS::EC2::CarrierGateway,ec2:carrier-gateway,aws_ec2_carrier_gateway
AWS::EC2::VPCPeeringConnection,ec2:vpc-peering-connection,aws_vpc_peering_connection
AWS::EC2::FlowLog,ec2:vpc-flow-log,aws_flow_log
AWS::EC2::LocalGatewayRouteTableVPCAssociation,ec2:local-gateway-route-table-vpc-association,aws_ec2_local_gateway_route_table_vpc_association
AWS::EC2::EgressOnlyInternetGateway,ec2:egress-only-internet-gateway,aws_egress_only_internet_gateway
AWS::EC2::InternetGateway,ec2:internet-gateway,aws_internet_gateway
AWS::EC2::CapacityReservationFleet,ec2:capacity-reservation-fleet,
AWS::EC2::TrafficMirrorFilter,ec2:traffic-mirror-filter,aws_ec2_traffic_mirror_filter
AWS::EC2::IPAMScope,ec2:ipam-scope,aws_vpc_ipam_scope
AWS::EC2::TransitGateway,ec2:transit-gateway,aws_ec2_transit_gateway
AWS::EC2::TrafficMirrorTarget,ec2:traffic-mirror-target,aws_ec2_traffic_mirror_target
AWS::EC2::PlacementGroup,ec2:placement-group,aws_placement_group
AWS::EC2::SecurityGroup,ec2:security-group,aws_security_group
AWS::EC2::NatGateway,ec2:natgateway,aws_nat_gateway
AWS::EC2::NetworkInsightsAccessScope,ec2:network-insights-access-scope,
AWS::EC2::VPCEndpointService,ec2:vpc-endpoint-service,aws_vpc_endpoint_service
AWS::EC2::CustomerGateway,ec2:customer-gateway,aws_customer_gateway
AWS::EC2::EC2Fleet,ec2:fleet,aws_ec2_fleet
AWS::EC2::DHCPOptions,ec2:dhcp-options,aws_vpc_dhcp_options
AWS::EC2::Host,ec2:dedicated-host,aws_ec2_host
AWS::EC2::VerifiedAccessEndpoint,ec2:verified-access-endpoint,aws_verifiedaccess_endpoint
AWS::EC2::VerifiedAccessInstance,ec2:verified-access-instance,aws_verifiedaccess_instance
AWS::EC2::VPNGateway,ec2:vpn-gateway,aws_vpn_gateway
AWS::EC2::InstanceConnectEndpoint,ec2:instance-connect-endpoint,aws_ec2_instance_connect_endpoint
AWS::EC2::TrafficMirrorFilterRule,ec2:traffic-mirror-filter-rule,aws_ec2_traffic_mirror_filter_rule
AWS::EC2::VerifiedAccessGroup,ec2:verified-access-group,aws_verifiedaccess_group
AWS::EC2::IPAMResourceDiscoveryAssociation,ec2:ipam-resource-discovery-association,aws_vpc_ipam_resource_discovery_association
AWS::EC2::TransitGatewayMulticastDomain,ec2:transit-gateway-multicast-domain,aws_ec2_transit_gateway_multicast_domain
AWS::EC2::VerifiedAccessTrustProvider,ec2:verified-access-trust-provider,aws_verifiedaccess_trust_provider
AWS::EC2::LocalGatewayRouteTable,ec2:local-gateway-route-table,
AWS::EC2::TransitGatewayRouteTable,ec2:transit-gateway-route-table,aws_ec2_transit_gateway_route_table
AWS::EC2::LocalGatewayRouteTableVirtualInterfaceGroupAssociation,ec2:local-gateway-route-table-virtual-interface-group-association,
AWS::EC2::NetworkInsightsAnalysis,ec2:network-insights-analysis,aws_ec2_network_insights_analysis
AWS::EC2::SpotFleet,ec2:spot-fleet-request,
AWS::EC2::VPC,ec2:vpc,aws_vpc
AWS::EC2::Instance,ec2:instance,aws_instance
AWS::EC2::VPNConnection,ec2:vpn-connection,aws_vpn_connection
AWS::EC2::KeyPair,ec2:key-pair,aws_key_pair
AWS::EC2::LaunchTemplate,ec2:launch-template,aws_launch_template
AWS::EC2::VPCEndpoint,ec2:vpc-endpoint,aws_vpc_endpoint
AWS::EC2::ClientVpnEndpoint,ec2:client-vpn-endpoint,aws_ec2_client_vpn_endpoint
AWS::EC2::IPAM,ec2:ipam,aws_vpc_ipam
AWS::EC2::Volume,ec2:volume,aws_ebs_volume
AWS::EC2::Subnet,ec2:subnet,aws_subnet
AWS::EC2::EIP,ec2:elastic-ip,aws_eip
AWS::EC2::TrafficMirrorSession,ec2:traffic-mirror-session,aws_ec2_traffic_mirror_session
AWS::EC2::VPCBlockPublicAccessExclusion,ec2:vpc-block-public-access-exclusion,aws_vpc_block_public_access_exclusion
AWS::EC2::CapacityReservation,ec2:capacity-reservation,aws_ec2_capacity_reservation
AWS::EC2::PrefixList,ec2:prefix-list,aws_ec2_managed_prefix_list
AWS::EC2::NetworkInsightsAccessScopeAnalysis,ec2:network-insights-access-scope-analysis,
AWS::EC2::NetworkInterface,ec2:network-interface,aws_network_interface
AWS::EC2::NetworkInsightsPath,ec2:network-insights-path,aws_ec2_network_insights_path
AWS::ECR::Repository,ecr:repository,aws_ecr_repository
AWS::ECR::PublicRepository,ecr-public:repository,aws_ecrpublic_repository
AWS::ECS::CapacityProvider,ecs:capacity-provider,aws_ecs_capacity_provider
AWS::ECS::Service,ecs:service,aws_ecs_service
AWS::ECS::TaskSet,ecs:task-set,aws_ecs_task_set
AWS::ECS::TaskDefinition,ecs:task-definition,aws_ecs_task_definition
AWS::ECS::Cluster,ecs:cluster,aws_ecs_cluster
AWS::EKS::FargateProfile,eks:fargateprofile,aws_eks_fargate_profile
AWS::EKS::Nodegroup,eks:nodegroup,aws_eks_node_group
AWS::EKS::AccessEntry,eks:access-entry,aws_eks_access_entry
AWS::EKS::Addon,eks:addon,aws_eks_addon
AWS::EKS::IdentityProviderConfig,eks:identityproviderconfig,aws_eks_identity_provider_config
AWS::EKS::PodIdentityAssociation,eks:podidentityassociation,aws_eks_pod_identity_association
AWS::EKS::Cluster,eks:cluster,aws_eks_cluster
AWS::ElastiCache::SubnetGroup,elasticache:subnetgroup,aws_elasticache_subnet_group
AWS::ElastiCache::ReplicationGroup,elasticache:replicationgroup,aws_elasticache_replication_group
AWS::ElastiCache::SecurityGroup,elasticache:securitygroup,
AWS::ElastiCache::CacheCluster,elasticache:cluster,aws_elasticache_cluster
AWS::ElastiCache::ParameterGroup,elasticache:parametergroup,aws_elasticache_parameter_group
AWS::ElastiCache::UserGroup,elasticache:usergroup,aws_elasticache_user_group
AWS::ElastiCache::User,elasticache:user,aws_elasticache_user
AWS::ElasticBeanstalk::Application,elasticbeanstalk:application,aws_elastic_beanstalk_application
AWS::ElasticBeanstalk::ConfigurationTemplate,elasticbeanstalk:configurationtemplate,aws_elastic_beanstalk_configuration_template
AWS::ElasticBeanstalk::Environment,elasticbeanstalk:environment,aws_elastic_beanstalk_environment
AWS::ElasticBeanstalk::ApplicationVersion,elasticbeanstalk:applicationversion,aws_elastic_beanstalk_application_version
AWS::EFS::FileSystem,elasticfilesystem:file-system,aws_efs_file_system
AWS::EFS::AccessPoint,elasticfilesystem:access-point,aws_efs_access_point
AWS::ElasticLoadBalancingV2::ListenerRule,elasticloadbalancing:listener-rule,aws_lb_listener_rule
AWS::ElasticLoadBalancingV2::TargetGroup,elasticloadbalancing:targetgroup,aws_lb_target_group
AWS::ElasticLoadBalancingV2::LoadBalancer,elasticloadbalancing:loadbalancer,aws_lb
AWS::ElasticLoadBalancingV2::Listener,elasticloadbalancing:listener,aws_lb_listener
AWS::ElasticLoadBalancingV2::TrustStore,elasticloadbalancing:truststore,aws_lb_trust_store
AWS::EMR::Cluster,elasticmapreduce:cluster,aws_emr_cluster
AWS::EMRContainers::VirtualCluster,emr-containers:virtualclusters,aws_emrcontainers_virtual_cluster
AWS::EMRServerless::Application,emr-serverless:applications,aws_emrserverless_application
AWS::EntityResolution::IdMappingWorkflow,entityresolution:idmappingworkflow,
AWS::EntityResolution::SchemaMapping,entityresolution:schemamapping,
AWS::EntityResolution::MatchingWorkflow,entityresolution:matchingworkflow,
AWS::EntityResolution::IdNamespace,entityresolution:idnamespace,
AWS::Events::EventBus,events:event-bus,aws_cloudwatch_event_bus
AWS::KinesisFirehose::DeliveryStream,firehose:deliverystream,aws_kinesis_firehose_delivery_stream
AWS::FIS::ExperimentTemplate,fis:experiment-template,aws_fis_experiment_template
AWS::Forecast::Dataset,forecast:dataset,
AWS::Forecast::DatasetGroup,forecast:dataset-group,
AWS::FraudDetector::List,frauddetector:list,
AWS::FraudDetector::Detector,frauddetector:detector,
AWS::FraudDetector::EntityType,frauddetector:entity-type,
AWS::FraudDetector::Label,frauddetector:label,
AWS::FraudDetector::EventType,frauddetector:event-type,
AWS::FraudDetector::Outcome,frauddetector:outcome,
AWS::FraudDetector::Variable,frauddetector:variable,
AWS::FSx::DataRepositoryAssociation,fsx:association,aws_fsx_data_repository_association
AWS::FSx::Snapshot,fsx:snapshot,
AWS::FSx::FileSystem,fsx:file-system,
AWS::FSx::StorageVirtualMachine,fsx:storage-virtual-machine,aws_fsx_ontap_storage_virtual_machine
AWS::FSx::Volume,fsx:volume,aws_fsx_ontap_volume
AWS::GameLift::MatchmakingRuleSet,gamelift:matchmakingruleset,
AWS::GameLift::GameServerGroup,gamelift:gameservergroup,aws_gamelift_game_server_group
AWS::GameLift::Fleet,gamelift:fleet,aws_gamelift_fleet
AWS::GameLift::Script,gamelift:script,aws_gamelift_script
AWS::GameLift::Location,gamelift:location,
AWS::GameLift::Alias,gamelift:alias,aws_gamelift_alias
AWS::GameLift::MatchmakingConfiguration,gamelift:matchmakingconfiguration,
AWS::GameLift::Build,gamelift:build,aws_gamelift_build
AWS::GameLift::GameSessionQueue,gamelift:gamesessionqueue,aws_gamelift_game_session_queue
AWS::Location::APIKey,geo:api-key,
AWS::Location::PlaceIndex,geo:place-index,aws_location_place_index
AWS::Location::Map,geo:map,aws_location_map
AWS::Location::Tracker,geo:tracker,aws_location_tracker
AWS::Location::RouteCalculator,geo:route-calculator,aws_location_route_calculator
AWS::Location::GeofenceCollection,geo:geofence-collection,aws_location_geofence_collection
AWS::GlobalAccelerator::CrossAccountAttachment,globalaccelerator:attachment,aws_globalaccelerator_cross_account_attachment
AWS::GlobalAccelerator::Accelerator,globalaccelerator:accelerator,aws_globalaccelerator_accelerator
AWS::Glue::Schema,glue:schema,aws_glue_schema
AWS::Glue::Trigger,glue:trigger,aws_glue_trigger
AWS::Glue::MLTransform,glue:mlTransform,aws_glue_ml_transform
AWS::Glue::Database,glue:database,aws_glue_catalog_database
AWS::Glue::Crawler,glue:crawler,aws_glue_crawler
AWS::Glue::CustomEntityType,glue:customEntityType,
AWS::Glue::UsageProfile,glue:usageProfile,
AWS::Glue::Job,glue:job,aws_glue_job
AWS::Glue::Connection,glue:connection,aws_glue_connection
AWS::Glue::DataQualityRuleset,glue:dataQualityRuleset,aws_glue_data_quality_ruleset
AWS::Glue::Registry,glue:registry,aws_glue_registry
AWS::Grafana::Workspace,grafana:workspaces,aws_grafana_workspace
AWS::Greengrass::CoreDefinition,greengrass:coresDefinition,
AWS::Greengrass::Group,greengrass:groups,
AWS::Greengrass::ResourceDefinition,greengrass:resourcesDefinition,
AWS::Greengrass::SubscriptionDefinition,greengrass:subscriptionsDefinition,
AWS::Greengrass::DeviceDefinition,greengrass:devicesDefinition,
AWS::Greengrass::ConnectorDefinition,greengrass:connectorsDefinition,
AWS::Greengrass::LoggerDefinition,greengrass:loggersDefinition,
AWS::Greengrass::FunctionDefinition,greengrass:functionsDefinition,
AWS::GroundStation::MissionProfile,groundstation:mission-profile,
AWS::GroundStation::DataflowEndpointGroup,groundstation:dataflow-endpoint-group,
AWS::GroundStation::Config,groundstation:config,
AWS::GuardDuty::Filter,guardduty:detector/filter,aws_guardduty_filter
AWS::GuardDuty::MalwareProtectionPlan,guardduty:malware-protection-plan,aws_guardduty_malware_protection_plan
AWS::GuardDuty::Detector,guardduty:detector,aws_guardduty_detector
AWS::GuardDuty::IPSet,guardduty:detector/ipset,aws_guardduty_ipset
AWS::GuardDuty::ThreatIntelSet,guardduty:detector/threatintelset,aws_guardduty_threatintelset
AWS::HealthLake::FHIRDatastore,healthlake:datastore,
AWS::IAM::User,iam:user,aws_iam_user
AWS::IAM::ServerCertificate,iam:server-certificate,aws_iam_server_certificate
AWS::IAM::Role,iam:role,aws_iam_role
AWS::IAM::InstanceProfile,iam:instance-profile,aws_iam_instance_profile
AWS::IAM::OIDCProvider,iam:oidc-provider,aws_iam_openid_connect_provider
