Wrong,Right
Acl,ACL
Acm,ACM
Acmpca,ACMPCA
AcmPca,ACMPCA
Ami,AMI
Api,API
ApiGateway,APIGateway
Appconfig,AppConfig
Appmesh,AppMesh
Appsync,AppSync
Arn,ARN
Asg,ASG
Asn,ASN
Autoscaling,AutoScaling
Bgp,BGP
Byoip,BYOIP
Cidr,CIDR
Cloudformation,CloudFormation
Cloudfront,CloudFront
Cloudwatch,CloudWatch
Cmk,CMK
Cname,CNAME
Coip,CoIP
Cpu,CPU
Css,CSS
Csv,CSV
Dax,DAX
Db,DB
Dhcp,DHCP
Dkim,DKIM
Dlm,DLM
Dms,DMS
Dns,DNS
Dnssec,DNSSEC
DocDb,DocDB
Docdb,DocDB
Dynamodb,DynamoDB
DynamoDb,DynamoDB
Ebs,EBS
Ec2,EC2
Ecmp,ECMP
Ecr,ECR
Ecs,ECS
Efs,EFS
Eip,EIP
Eks,EKS
Elasticache,ElastiCache
ElasticSearch,Elasticsearch
Elb,ELB
Emr,EMR
Fifo,FIFO
Fms,FMS
Fqdns,FQDNS
Fsx,FSx
FSX,FSx
Gamelift,GameLift
Gcm,GCM
Gp2,GP2
Gp3,GP3
Graphql,GraphQL
Grpc,GRPC
Guardduty,GuardDuty
Haproxy,HAProxy
Hsm,HSM
Http,HTTP
Https,HTTPS
Hvm,HVM
Iam,IAM
Iot,IoT
Ip,IP
Ipam,IPAM
Ipset,IPSet
Iscsi,iSCSI
Jdbc,JDBC
Json,JSON
Kms,KMS
Mfa,MFA
Msk,MSK
Mwaa,MWAA
Mysql,MySQL
Nfs,NFS
Oauth,OAuth
Oidc,OIDC
Opsworks,OpsWorks
Php,PHP
Pitr,PITR
Posix,POSIX
Precheck,PreCheck
Qldb,QLDB
Rabbitmq,RabbitMQ
Rds,RDS
Rfc,RFC
Sagemaker,SageMaker
Sasl,SASL
Sfn,SFN
Smb,SMB
Sms,SMS
Smtp,SMTP
Sns,SNS
Sql,SQL
Sqs,SQS
Ssh,SSH
Ssl,SSL
Ssm,SSM
Sso,SSO
Sts,STS
Swf,SWF
Tcp,TCP
Tls,TLS
Ttl,TTL
Uri,URI
Url,URL
Vgw,VGW
Voip,VoIP
Vpc,VPC
Vpn,VPN
Waf,WAF
Wafv2,WAFV2
Workgroup,WorkGroup
Worklink,WorkLink
Workspaces,WorkSpaces
Xray,XRay
Xss,XSS
Yaml,YAML